*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-29 11:48:17:748272,Robot Hand Pose: ,"x: 0.192094877362
y: 0.0868068411946
z: 0.221288219094
x: 0.0191076304764
y: 0.460437476635
z: -0.117577500641
w: 1.0"
2017-11-29 11:48:17:749184,Current Word:,\rspd=75\  Wilf
2017-11-29 11:48:17:754950,Detected ARTags: ,"32, 33"
2017-11-29 11:48:17:756107,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:17:756362,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:17:851727,Robot State:,0.1
2017-11-29 11:48:17:957064,Detected ARTags: ,"32, 33"
2017-11-29 11:48:17:958756,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:17:958956,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:18:055889,Detected ARTags: ,"32, 33"
2017-11-29 11:48:18:056427,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:18:057077,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:18:157075,Detected ARTags: ,"32, 33"
2017-11-29 11:48:18:158528,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:18:158967,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:18:256172,Detected ARTags: ,"32, 33"
2017-11-29 11:48:18:256671,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:18:256809,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:18:357286,Detected ARTags: ,"32, 33"
2017-11-29 11:48:18:358199,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:18:358707,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:18:455920,Detected ARTags: ,"32, 33"
2017-11-29 11:48:18:456908,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:18:457119,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:18:653770,Detected ARTags: ,"32, 33"
2017-11-29 11:48:18:655071,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:18:655318,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:18:861747,Detected ARTags: ,"32, 33"
2017-11-29 11:48:18:862646,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:18:862976,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:18:868220,Robot Hand Pose: ,"x: 0.199838012457
y: 0.0800998657942
z: 0.236308127642
x: 0.0132268909365
y: 0.382752120495
z: -0.145520344377
w: 1.0"
2017-11-29 11:48:18:868981,Current Word:,\rspd=75\ and
2017-11-29 11:48:18:957657,Detected ARTags: ,"32, 33"
2017-11-29 11:48:18:957901,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:18:958423,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:18:973441,Robot State:,0.1
2017-11-29 11:48:19:056191,Detected ARTags: ,"32, 33"
2017-11-29 11:48:19:057828,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:19:057698,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:19:156218,Detected ARTags: ,"32, 33"
2017-11-29 11:48:19:156554,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:19:156815,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:19:251697,Detected ARTags: ,"32, 33"
2017-11-29 11:48:19:252887,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:19:252787,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:19:357080,Detected ARTags: ,"32, 33"
2017-11-29 11:48:19:359372,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:19:359212,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:19:456847,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:19:456422,Detected ARTags: ,"32, 33"
2017-11-29 11:48:19:457295,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:19:657589,Detected ARTags: ,"32, 33"
2017-11-29 11:48:19:658921,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:19:659294,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:19:759870,Detected ARTags: ,"32, 33"
2017-11-29 11:48:19:761041,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:19:761390,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:19:856710,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:19:856298,Detected ARTags: ,"32, 33"
2017-11-29 11:48:19:857139,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:19:950938,Detected ARTags: ,"32, 33"
2017-11-29 11:48:19:951861,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:19:952091,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:20:008854,Robot Hand Pose: ,"x: 0.199119031429
y: 0.0728565603495
z: 0.235159188509
x: 0.0152367968112
y: 0.387193083763
z: -0.182261392474
w: 1.0"
2017-11-29 11:48:20:009299,Current Word:,\rspd=75\ Wilma
2017-11-29 11:48:20:053050,Detected ARTags: ,"32, 33"
2017-11-29 11:48:20:053925,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:20:054213,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:20:111009,Robot State:,0.1
2017-11-29 11:48:20:160113,Detected ARTags: ,"32, 33"
2017-11-29 11:48:20:160430,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:20:160655,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:20:260997,Detected ARTags: ,"32, 33"
2017-11-29 11:48:20:261908,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:20:262186,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:20:455035,Detected ARTags: ,"32, 33"
2017-11-29 11:48:20:456493,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:20:456759,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:20:555980,Detected ARTags: ,"32, 33"
2017-11-29 11:48:20:556465,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:20:556616,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:21:137559,Robot Hand Pose: ,"x: 0.198413357139
y: 0.0653046220541
z: 0.235670268536
x: 0.0152926137671
y: 0.383294075727
z: -0.220136746764
w: 1.0"
2017-11-29 11:48:21:137948,Current Word:,\rspd=75\ came
2017-11-29 11:48:21:239889,Robot State:,0.1
2017-11-29 11:48:22:289074,Current Word:,\rspd=75\ to
2017-11-29 11:48:22:289334,Robot Hand Pose: ,"x: 0.196912825108
y: 0.0581098794937
z: 0.234784632921
x: 0.0240748319775
y: 0.386478126049
z: -0.255060940981
w: 1.0"
2017-11-29 11:48:22:393033,Robot State:,0.1
2017-11-29 11:48:23:387603,Robot Hand Pose: ,"x: 0.195544272661
y: 0.0513373091817
z: 0.234482765198
x: 0.0255111325532
y: 0.386754065752
z: -0.289959818125
w: 1.0"
2017-11-29 11:48:23:388526,Current Word:,\rspd=75\ the house		
2017-11-29 11:48:23:493764,Robot State:,0.1
2017-11-29 11:48:24:230512,Robot Hand Pose: ,"x: 0.19275085628
y: 0.0755299851298
z: 0.223253190517
x: 0.0268615651876
y: 0.447963923216
z: -0.1732352525
w: 1.0"
2017-11-29 11:48:24:231551,Current Word:,\rspd=75\  They
2017-11-29 11:48:24:257881,Detected ARTags: ,"32, 33"
2017-11-29 11:48:24:260406,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:24:260869,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:24:335439,Robot State:,0.1
2017-11-29 11:48:24:363369,Detected ARTags: ,"32, 33"
2017-11-29 11:48:24:364240,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:24:364479,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:24:458447,Detected ARTags: ,"32, 33"
2017-11-29 11:48:24:459989,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:24:460313,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:24:557202,Detected ARTags: ,"32, 33"
2017-11-29 11:48:24:557674,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:24:558136,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:24:756376,Detected ARTags: ,"32, 33"
2017-11-29 11:48:24:757083,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:24:757419,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:24:857924,Detected ARTags: ,"32, 33"
2017-11-29 11:48:24:858885,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:24:859025,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:24:959492,Detected ARTags: ,"32, 33"
2017-11-29 11:48:24:960816,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:24:961126,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:25:058005,Detected ARTags: ,"32, 33"
2017-11-29 11:48:25:058843,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:25:059306,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:25:152083,Detected ARTags: ,"32, 33"
2017-11-29 11:48:25:152735,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:25:152852,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:25:251047,Detected ARTags: ,"32, 33"
2017-11-29 11:48:25:251765,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:25:251982,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:25:356026,Detected ARTags: ,"32, 33"
2017-11-29 11:48:25:357252,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:25:357703,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:25:557139,Detected ARTags: ,"32, 33"
2017-11-29 11:48:25:558581,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:25:559046,Current State of Reading: ,Waiting for Red-card
