*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-04 16:27:54:063836,Reading speed:,0.06with0.06delay
2017-12-04 16:27:54:063908,Instruction:,"NumberOfStart:
1
ChildName:
test
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:




# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

2017-12-04 16:28:21:717181,Detected ARTags: ,"30, 31"
2017-12-04 16:28:21:718271,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:21:718587,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:21:816685,Detected ARTags: ,"30, 31"
2017-12-04 16:28:21:817740,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:21:818109,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:21:914291,Detected ARTags: ,"30, 31"
2017-12-04 16:28:21:914764,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:21:914910,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:22:005093,Detected ARTags: ,"30, 31"
2017-12-04 16:28:22:005790,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:22:005917,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:22:111090,Detected ARTags: ,"30, 31"
2017-12-04 16:28:22:112062,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:22:112605,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:22:212906,Detected ARTags: ,"30, 31"
2017-12-04 16:28:22:213620,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:22:213469,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:22:317893,Detected ARTags: ,"30, 31"
2017-12-04 16:28:22:318139,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:22:414093,Detected ARTags: ,"30, 31"
2017-12-04 16:28:22:414891,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:22:415438,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:22:505897,Detected ARTags: ,"30, 31"
2017-12-04 16:28:22:507084,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:22:506956,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:22:612663,Detected ARTags: ,"30, 31"
2017-12-04 16:28:22:613787,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:22:614088,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:22:716684,Detected ARTags: ,"30, 31"
2017-12-04 16:28:22:716892,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:22:717039,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:22:804275,Detected ARTags: ,"30, 31"
2017-12-04 16:28:22:804857,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:22:805016,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:22:903470,Detected ARTags: ,"30, 31"
2017-12-04 16:28:22:903693,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:22:903766,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:23:003555,Detected ARTags: ,"30, 31"
2017-12-04 16:28:23:003815,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:23:003955,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:23:117906,Detected ARTags: ,"30, 31"
2017-12-04 16:28:23:119450,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:23:120128,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:23:215445,Detected ARTags: ,"30, 31"
2017-12-04 16:28:23:216846,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:23:217168,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:23:309277,Detected ARTags: ,"30, 31"
2017-12-04 16:28:23:310335,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:23:310633,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:23:415487,Detected ARTags: ,"30, 31"
2017-12-04 16:28:23:416534,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:23:416772,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:23:513214,Detected ARTags: ,"30, 31"
2017-12-04 16:28:23:517385,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:23:517833,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:23:615276,Detected ARTags: ,"30, 31"
2017-12-04 16:28:23:616983,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:23:617224,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:23:666678,Robot State:,Looking at The Book
2017-12-04 16:28:23:717683,Detected ARTags: ,"30, 31"
2017-12-04 16:28:23:718742,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:23:718587,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:23:816228,Detected ARTags: ,"30, 31"
2017-12-04 16:28:23:817992,Detected ARTags: ,"[30, 31]"
